ID,Common Names
ACAD,Moose
ACAD,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer"
ACAD,"Coyote, Eastern Coyote"
ACAD,"Eastern Timber Wolf, Gray Wolf, Timber Wolf"
ACAD,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox"
ACAD,Canada Lynx
ACAD,"Bay Lynx, Bobcat, Red Lynx, Wild Cat"
ACAD,"Eastern Skunk, Polecat, Striped Skunk"
ACAD,"Otter, River Otter"
ACAD,"Blackcat, Fisher, Pekan"
ACAD,Weasel
ACAD,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel"
ACAD,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel"
ACAD,"Ancient Sea Mink, Big Sea Mink, Sea Mink"
ACAD,"American Mink, Mink"
ACAD,Walrus
ACAD,Gray Seal
ACAD,"Common Seal, Hair Seal, Harbor Seal"
ACAD,"Common Raccoon, Raccoon"
ACAD,Black Bear
ACAD,"Big Brown Bat, Common Brown Bat"
ACAD,Silver-Haired Bat
ACAD,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat"
ACAD,Hoary Bat
ACAD,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat"
ACAD,"Eastern Small-Footed Myotis, Small-Footed Myotis"
ACAD,"Little Brown Bat, Little Brown Myotis"
ACAD,"Eastern Pipistrelle, Northern Georgian Bat"
ACAD,"Snowshoe Hare, Varying Hare"
ACAD,"American Beaver, Beaver, Canadian Beaver"
ACAD,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse"
ACAD,"Field Mouse, Meadow Mouse, Meadow Vole"
ACAD,"Common Muskrat, Muskrat, Musquash, Water Rat"
ACAD,White-Footed Mouse
ACAD,Deer Mouse
ACAD,"Cooper Lemming Mouse, Southern Bog Lemming"
ACAD,Woodland Jumping Mouse
ACAD,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse"
ACAD,"Hedgehog, Porcupine"
ACAD,House Mouse
ACAD,"Brown Rat, Norway Rat"
ACAD,Glaucomys Sp.
ACAD,"Mearns Flying Squirrel, Northern Flying Squirrel"
ACAD,Southern Flying Squirrel
ACAD,"Groundhog, New England Woodchuck, Woodchuck"
ACAD,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel"
ACAD,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk"
ACAD,"Chickaree, Red Squirrel"
ACAD,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew"
ACAD,Masked Shrew
ACAD,"Northern Smoky Shrew, Smoky Shrew"
ACAD,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew"
ACAD,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew"
ACAD,Star-Nosed Mole
ACAD,"Brewer's Mole, Hairy-Tailed Mole"
ACAD,Cooper's Hawk
ACAD,"Eastern Goshawk, Goshawk, Northern Goshawk"
ACAD,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk"
ACAD,"American Golden Eagle, Golden Eagle"
ACAD,"Eastern Red-Tailed Hawk, Red-Tailed Hawk"
ACAD,"American Rough-Legged Hawk, Rough-Legged Hawk"
ACAD,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk"
ACAD,"Broad-Winged Hawk, Northern Broad-Winged Hawk"
ACAD,Swainson's Hawk
ACAD,"American Marsh Hawk, Marsh Hawk, Northern Harrier"
ACAD,"Bald Eagle, Northern Bald Eagle"
ACAD,"Eastern Turkey Vulture, Turkey Vulture"
ACAD,"American Osprey, Fish Hawk, Osprey"
ACAD,Wood Duck
